Lane,Occup,Flow,Sample
Left,0.0783,112,1539
Left,0.0874,121,1540
Left,0.068,100,1541
Left,0.0832,120,1542
Left,0.0675,99,1543
Left,0.091,129,1544
Left,0.0783,111,1545
Left,0.0728,102,1546
Left,0.0703,100,1547
Left,0.067,98,1548
Left,0.0502,74,1549
Left,0.0644,91,1550
Left,0.0557,79,1551
Left,0.0552,79,1552
Left,0.0479,70,1553
Left,0.0504,76,1554
Left,0.055,81,1555
Left,0.0603,84,1556
Left,0.0505,70,1557
Left,0.076,106,1558
Left,0.0449,65,1559
Left,0.0447,61,1560
Left,0.0423,60,1561
Left,0.0506,73,1562
Left,0.0428,62,1563
Left,0.0603,85,1564
Left,0.058,81,1565
Left,0.0493,71,1566
Left,0.0479,66,1567
Left,0.06,87,1568
Left,0.0618,86,1569
Left,0.054,75,1570
Left,0.0653,88,1571
Left,0.048,66,1572
Left,0.0522,73,1573
Left,0.0575,84,1574
Left,0.0497,72,1575
Left,0.0682,96,1576
Left,0.0551,76,1577
Left,0.0479,67,1578
Left,0.0593,81,1579
Left,0.0564,79,1580
Left,0.071,102,1581
Left,0.0575,77,1582
Left,0.0617,85,1583
Left,0.0568,81,1584
Left,0.0483,71,1585
Left,0.0593,84,1586
Left,0.062,86,1587
Left,0.0694,101,1588
Left,0.0541,76,1589
Left,0.0681,94,1590
Left,0.0658,88,1591
Left,0.0613,85,1592
Left,0.0736,101,1593
Left,0.0738,103,1594
Left,0.0893,122,1595
Left,0.059,83,1596
Left,0.0657,95,1597
Left,0.0634,90,1598
Left,0.0692,98,1599
Left,0.0698,100,1600
Left,0.0597,87,1601
Left,0.0558,80,1602
Left,0.0791,110,1603
Left,0.0725,100,1604
Left,0.1028,140,1605
Left,0.0801,113,1606
Left,0.0786,104,1607
Left,0.0769,108,1608
Left,0.0631,91,1609
Left,0.0672,99,1610
Left,0.0798,111,1611
Left,0.0731,102,1612
Left,0.1145,152,1613
Left,0.0779,109,1614
Left,0.1141,158,1615
Left,0.1462,141,1616
Left,0.3275,132,1617
Left,0.1391,165,1618
Left,0.1274,162,1619
Left,0.111,153,1620
Left,0.1095,148,1621
Left,0.1193,159,1622
Left,0.132,174,1623
Left,0.1356,180,1624
Left,0.147,189,1625
Left,0.1211,163,1626
Left,0.1376,181,1627
Left,0.1663,197,1628
Left,0.2692,171,1629
Left,0.2606,149,1630
Left,0.2457,173,1631
Left,0.211,169,1632
Left,0.1354,151,1633
